"Visibility Check","Checkliste Sichtbarkeit"
"Please choose a store view to run visibility checks!","Bitte wählen Sie einen StoreView um die Sichtbarkeit zu prüfen!"
"is enabled","ist aktiviert"
"is visible in catalog","im Katalog sichtbar"
"has website","Webseitenzuordnung"
"has category","Kategorienzuordnung"
"is in stock","ist auf Lager"
"is up to date in price index","Preisindex ist aktuell"
"is up to date in stock index","Lagerbestandsindex ist aktuell"
"should be visible","sollte sichtbar sein"
"associated products not visible individually","Verknüpfte Produkte nicht einzeln sichtbar"
"there are visible associated products: <ul><li>%s</li></ul>","es gibt sichtbare verknüpfte Produkte: <ul><li>%s</li></ul>"
"there are no visible associated products","keines der verknüpften Produkte ist einzeln sichtbar"
"check the other issues first","zunächst sollten die anderen Punkte geprüft werden"
"rebuild price index","Preisindex neu aufbauen"
"rebuild stock index","Lagerbestandsindex neu aufbauen"
"check inventory","Bestand prüfen"
"set status to enabled","Status auf ""aktiviert"" setzen"
"set visibility to ""Catalog"" or ""Catalog/Search""","Sichtbarkeit auf ""Katalog"" oder ""Katalog/Suche"" setzen"
"select an active website","eine aktive Website auswählen"
"select a category","eine Kategorie auswählen"
"current websites: %s","aktuelle Websites: %s"
"select store view ""%s"" to view details","Für Details bitte StoreView ""%s"" auswählen."
"is_enabled","aktiviert"
"is_enabled_howto","Aktivieren Sie das Produkt!"
"is_salable","aktiviert"
"is_salable_howto","Beachten Sie die weiteren Ursachen. Wenden Sie sich an Netresearch, wenn keine weiteren Ursachen angezeigt werden."